c_function,category,this_api,uber_api,uber_status,semantics,allocation,migration
cellToChildrenSize,hierarchy,Cell.NumChildren,— (internal sizing),absorbed,exposed here for pre-sizing and planning,n/a,n/a
cellToChildren,hierarchy,Cell.Children; Cell.AppendChildren; Cell.ChildrenSeq; Cell.ImmediateChildren; Cell.AppendImmediateChildren,Cell.Children; Cell.ImmediateChildren,available,canonical order in both; this library additionally provides zero-allocation Append and Seq forms,Append forms 0-alloc and Seq allocation-free here vs slice per call there,mechanical
cellToCenterChild,hierarchy,Cell.CenterChild,Cell.CenterChild,available,identical,none,mechanical
cellToChildPos,hierarchy,Cell.ChildPos,CellToChildPos; Cell.ChildPos,available,int64 position here vs int there,none,mechanical
childPosToCell,hierarchy,Cell.ChildAtPos,ChildPosToCell; Cell.ChildPosToCell,available,named ChildAtPos here; position is int64 here vs int there,none,mechanical
compactCells,hierarchy,CompactCells; AppendCompactCells,CompactCells,available,identical (input must be unique same-res cells),Append form reuses the result buffer here (algorithm scratch still allocates),mechanical
uncompactCellsSize,hierarchy,UncompactCellsSize,— (internal sizing),absorbed,exposed here for Append* buffer pre-sizing,n/a,n/a
uncompactCells,hierarchy,UncompactCells; AppendUncompactCells,UncompactCells,available,identical,Append form 0-alloc here,mechanical
areNeighborCells,edges,Cell.IsNeighbor,Cell.IsNeighbor,available,identical,none,mechanical
cellsToDirectedEdge,edges,Cell.DirectedEdgeTo,Cell.DirectedEdge,available,named DirectedEdgeTo here,none,mechanical
isValidDirectedEdge,edges,DirectedEdge.IsValid,DirectedEdge.IsValid,available,identical,none,mechanical
getDirectedEdgeOrigin,edges,DirectedEdge.Origin,DirectedEdge.Origin,available,identical,none,mechanical
getDirectedEdgeDestination,edges,DirectedEdge.Destination,DirectedEdge.Destination,available,identical,none,mechanical
directedEdgeToCells,edges,DirectedEdge.Cells,DirectedEdge.Cells,different-shape,"two return values (origin, destination) here vs a 2-element []Cell there",none here vs 1 slice alloc there,mechanical
originToDirectedEdges,edges,Cell.DirectedEdges,Cell.DirectedEdges,available,pentagon's deleted slot pruned in both (5 edges),1 slice alloc in either,mechanical
directedEdgeToBoundary,edges,DirectedEdge.Boundary,DirectedEdge.Boundary,different-shape,CellBoundary value here vs []LatLng there (same cellToBoundary note),0 allocs here vs 1 there,adaptation
cellToVertex,vertexes,Cell.Vertex,Cell.Vertex; CellToVertex,available,identical,none,mechanical
cellToVertexes,vertexes,Cell.Vertexes; Cell.AppendVertexes,Cell.Vertexes; CellToVertexes,available,pentagon slot pruned in both (5 vertexes),convenience is 1 slice alloc in either; Append form is 0-alloc with a warm buffer here,mechanical
vertexToLatLng,vertexes,Vertex.LatLng,Vertex.LatLng; VertexToLatLng,available,typed Angle coordinates here vs degrees there,none,mechanical
isValidVertex,vertexes,Vertex.IsValid,Vertex.IsValid; IsValidVertex,available,identical,none,mechanical
maxPolygonToCellsSize,regions,MaxPolygonToCellsSize,— (internal sizing),absorbed,exposed here for Append* buffer pre-sizing,n/a,n/a
polygonToCells,regions,PolygonToCells; AppendPolygonToCells,PolygonToCells; GeoPolygon.Cells,available,center-containment in both; GeoPolygon vertices typed Angle here vs degrees there,"Append form reuses result buffer here (3 algorithm-internal allocs remain, as in C); binding also mallocs the polygon on the C heap per call",mechanical
maxPolygonToCellsSizeExperimental,regions,MaxPolygonToCellsSizeExperimental,— (internal sizing),absorbed,exposed here for Append* buffer pre-sizing,n/a,n/a
polygonToCellsExperimental,regions,PolygonToCellsExperimental; AppendPolygonToCellsExperimental; PolygonToCellsExperimentalSeq,PolygonToCellsExperimental,available,binding adds an optional variadic result cap; the Seq form here streams cells without materializing,Append and Seq forms here vs slice + C-heap polygon there,mechanical
cellsToLinkedMultiPolygon,regions,CellsToMultiPolygon,CellsToMultiPolygon,available,same []GeoPolygon shape and loop order; vertices typed Angle here vs degrees there,Go-native structures here vs C linked list walked and freed there,mechanical
destroyLinkedMultiPolygon,regions,— (garbage collected),— (garbage collected),absorbed,meaningless under GC in both,n/a,n/a
cellAreaRads2,measurement,Cell.AreaRads2,CellAreaRads2,available,method here vs function there,none,mechanical
cellAreaKm2,measurement,Cell.AreaKm2,CellAreaKm2,available,method here vs function there,none,mechanical
cellAreaM2,measurement,Cell.AreaM2,CellAreaM2,available,method here vs function there,none,mechanical
edgeLengthRads,measurement,DirectedEdge.LengthRads,EdgeLengthRads,available,method here vs function there,none,mechanical
edgeLengthKm,measurement,DirectedEdge.LengthKm,EdgeLengthKm,available,method here vs function there,none,mechanical
edgeLengthM,measurement,DirectedEdge.LengthM,EdgeLengthM,available,method here vs function there,none,mechanical
getHexagonAreaAvgKm2,measurement,HexagonAreaAvgKm2,HexagonAreaAvgKm2,available,identical,none,mechanical
getHexagonAreaAvgM2,measurement,HexagonAreaAvgM2,HexagonAreaAvgM2,available,identical,none,mechanical
getHexagonEdgeLengthAvgKm,measurement,HexagonEdgeLengthAvgKm,HexagonEdgeLengthAvgKm,available,identical,none,mechanical
getHexagonEdgeLengthAvgM,measurement,HexagonEdgeLengthAvgM,HexagonEdgeLengthAvgM,available,identical,none,mechanical
greatCircleDistanceRads,measurement,GreatCircleDistanceRads,GreatCircleDistanceRads,available,no error in either; LatLng construction differs as above,none,mechanical
greatCircleDistanceKm,measurement,GreatCircleDistanceKm,GreatCircleDistanceKm,available,no error in either,none,mechanical
greatCircleDistanceM,measurement,GreatCircleDistanceM,GreatCircleDistanceM,available,no error in either,none,mechanical
